アーツアンドレターズ,St,Ph,Ma,Ha,Ec,Ec,Ma,Ec,リボー,000000,0A0300,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,030000,040000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,010000,030200,030000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
アーティアス,St,Ec,He,Ha,Ec,Ec,Sw,St,プリンスキロ,000000,060400,050400,030000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,010000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,040000,000000,000000,020000,020000,040000,000000,000000,000000,000000,000000,000000,000000,030000,000000,000000,000000,000000,000000,030200,030000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
アーネストリー,Ro,Ne,Ns,Ne,Ph,St,Ha,Fa,ヘイルトゥリーズン,000000,000000,000000,070400,030000,060200,000000,000000,020000,000000,000000,000000,030200,000000,000000,000000,000000,000000,070100,030000,020000,000000,000000,000000,000000,000000,030000,0A0300,000000,000000,020000,000000,000000,000000,000000,0A0400,020000,000000,000000,080000,000000,000000,040000,030200,000000,000000,000000,000000,000000,090200,030000,020000,000000,000000,000000,000000,000000,000000,000000,000000,000000,050200,000000
アーミジャー,Ns,Ha,Ne,To,St,Na,Na,Hi,レッドゴッド,000000,040000,0A0300,0A0100,0A0100,030200,000000,000000,000000,000000,000000,040000,000000,000000,000000,090200,000000,000000,040000,040000,000000,000000,000000,000000,000000,000000,020000,030200,000000,000000,030000,000000,000000,030000,020000,030200,000000,000000,000000,030200,000000,000000,030200,030000,000000,000000,030000,000000,000000,050200,020000,000000,000000,000000,030000,000000,000000,030000,000000,000000,000000,030000,000000
アイアムアカペラオー,Ne,Ph,Ns,Ns,Ro,He,St,Ro,ノーザンダンサー,000000,000000,040000,030000,020000,030200,000000,000000,030200,000000,000000,000000,030000,000000,000000,060400,000000,000000,030000,000000,000000,000000,000000,080400,000000,000000,000000,000000,000000,000000,000000,000000,000000,0A0300,0A0100,0A0100,030200,000000,000000,000000,000000,000000,040000,000000,000000,000000,090200,000000,000000,000000,050200,0A0100,000000,000000,050400,000000,000000,000000,030200,000000,000000,000000,000000
アイシラヌユエXX,Ro,He,Sw,Ne,St,Te,Ha,Ns,ヘイルトゥリーズン,000000,000000,000000,070400,030000,060200,000000,000000,020000,000000,000000,040000,0A0300,000000,000000,000000,000000,000000,000000,070100,020000,000000,000000,000000,000000,000000,000000,000000,000000,000000,050300,000000,000000,030000,030000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,030400,030000,000000,000000,010000,000000,000000,000000,030000,000000,000000,000000,000000
アイスカペイド,Ne,Ha,Na,Te,St,Ec,Ma,Ec,ニアークティック,010000,020000,030200,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,030200,030000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,030200,000000,000000,000000,000000,000000,000000,000000,000000,040000,000000,000000,000000,000000,000000,000000,000000,030000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
アイダホ,Ne,Na,Ne,Ha,Ro,Te,St,Sw,ノーザンダンサー,000000,000000,040000,030000,020000,030200,000000,000000,030200,000000,000000,000000,030000,000000,000000,060400,000000,000000,000000,030200,020000,000000,000000,050200,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,070100,030000,020000,000000,000000,000000,000000,000000,030000,0A0300,000000,000000,050200,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
アイナドイラヌXX,Na,Ne,Ns,Ns,To,To,Ns,Ns,レイズアネイティヴ,000000,000000,000000,030200,020000,030200,000000,000000,020000,000000,000000,000000,020000,000000,000000,000000,000000,000000,070100,030000,020000,000000,000000,000000,000000,000000,050200,020000,000000,000000,000000,000000,000000,000000,070300,000000,000000,000000,000000,000000,000000,000000,0A0200,050200,000000,000000,050200,000000,000000,000000,000000,050200,000000,000000,000000,000000,000000,030000,050200,000000,000000,020000,000000
アイネスフウジン,Ha,Sw,Ns,Sw,Ph,Fa,Ha,Sw,サンインロー,000000,080400,040000,040000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,030000,000000,000000,0A0300,070100,0A0100,030200,000000,000000,000000,000000,000000,030200,030000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0A0100,000000,000000,000000,040000,000000,000000,000000,000000
アイランドホワール,Fa,Ec,Ha,Na,Sw,Ha,Ha,He,フェアウェイ,000000,000000,000000,000000,000000,010000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,050200,030200,030000,000000,000000,000000,000000,000000,000000,040000,000000,000000,000000,000000,000000,030200,000000,000000,000000,000000,040000,000000,000000,000000,040000,000000,000000,030000,000000
アイランドホワール-瞬発-,Fa,Ec,Ha,Na,Sw,Ha,Ha,He,フェアウェイ,010000,000000,000000,000000,000000,010000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,050200,030200,030000,000000,000000,000000,000000,000000,000000,040000,000000,000000,000000,000000,000000,030200,000000,000000,000000,000000,040000,000000,000000,000000,040000,000000,000000,030000,000000
アイリスフウジン,Ha,Sw,Ns,Sw,Ph,Fa,Ha,Sw,サンインロー,000000,080400,040000,040000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,030000,000000,000000,0A0300,070100,0A0100,030200,000000,000000,000000,000000,000000,030200,030000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,0A0100,000000,000000,000000,040000,000000,000000,000000,000000
アイリッシュリヴァー-覇走-,Ns,St,He,Ha,He,Te,Ec,Te,ネヴァーベンド,020000,030000,050200,0A0100,030200,000000,000000,000000,040000,000000,000000,000000,020000,000000,000000,000000,000000,000000,030000,050400,030000,000000,000000,030000,000000,000000,030000,030000,000000,000000,000000,000000,000000,020000,000000,020000,040000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,030000,000000,000000,030000,000000,000000,000000,030000,000000,000000,040000,000000
アイルトンシンボリ,He,Ro,Ne,Ns,Ph,Fa,Ha,St,マイバブー,000000,000000,030200,090200,020000,020000,000000,000000,000000,000000,000000,010000,000000,000000,000000,000000,000000,000000,000000,000000,020000,000000,000000,000000,000000,000000,020000,030000,000000,000000,000000,000000,000000,020000,030000,020000,030200,000000,000000,030200,000000,000000,060400,000000,000000,000000,000000,000000,000000,000000,000000,050200,000000,000000,000000,000000,000000,040000,000000,000000,000000,090200,000000
アイルハヴアナザー,Na,Na,Ro,St,Ne,Ne,Ne,Ne,レイズアネイティヴ,000000,000000,000000,000000,030200,020000,000000,000000,080300,000000,000000,070100,030000,000000,000000,000000,000000,000000,000000,030200,020000,000000,000000,020000,000000,000000,040000,030000,000000,000000,040000,000000,000000,000000,000000,070400,030000,000000,000000,050400,000000,000000,070100,030000,000000,000000,030000,000000,000000,000000,000000,030000,000000,000000,040000,000000,000000,000000,030400,000000,000000,040000,000000
アウォーディー,Ns,Ne,Ro,Ne,Ha,Ha,Te,St,ゼダーン,000000,000000,000000,000000,0A0400,020000,000000,000000,080000,000000,000000,040000,030200,000000,000000,000000,000000,000000,020000,030000,020000,000000,000000,060400,000000,000000,000000,000000,000000,000000,000000,000000,000000,030200,030100,030000,060200,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,040000,030000,020000,000000,000000,000000,000000,000000,0A0300,000000,000000,000000,000000,000000
アウザール,Fa,Sw,Ne,St,Ha,St,Te,Fa,フェアウェイ,000000,000000,000000,000000,010000,000000,000000,000000,000000,000000,000000,000000,030200,000000,000000,030200,000000,000000,040000,080400,030000,000000,000000,040000,000000,000000,000000,040000,000000,000000,000000,000000,000000,030400,030000,020000,030200,000000,000000,030200,000000,000000,000000,060400,000000,000000,000000,000000,000000,000000,040000,030000,000000,000000,030200,000000,000000,000000,000000,000000,000000,040000,000000
アカテナンゴ,Ha,Te,Sw,He,Ha,Ha,Ph,Ec,ハンプトン,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,040000,000000,000000,000000,040000,000000,000000,000000,040000,000000,000000,030200,030000,000000,000000,000000,000000,000000,000000,000000,020000,030000,000000,000000,040000,000000,000000,030200,000000,000000,000000,030200,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
アクアク-瞬発-,Hi,Hi,Ro,St,Te,Ph,Ec,Ph,ヒムヤー,010000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,030000,000000,000000,000000,000000,000000,000000,000000,030000,000000,000000,000000,030000,000000,000000,000000,000000,000000,000000,000000,000000,000000,060200,020000,030200,000000,000000,000000,040000,000000,000000,040000,000000,000000,000000,000000,000000,000000,050400,030000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,030000,000000
